Year,Month,MKT,ME,I/A,ROE
1991,9,-1.55,1.82,-0.78,-0.41
1991,10,1.35,0.64,1.28,0.11
1991,11,-4.12,-0.35,0.34,3.45
1991,12,10.30,-1.58,-2.00,6.81
1992,1,-0.42,8.34,1.51,-3.95
1992,2,1.05,1.33,2.28,0.84
1992,3,-2.71,-1.24,2.00,1.09
1992,4,1.01,-6.98,1.81,-1.64
1992,5,0.37,-0.34,0.36,-0.11
1992,6,-2.25,-2.59,0.56,0.80
1992,7,3.70,-0.84,0.40,2.60
1992,8,-2.34,-0.35,-0.77,1.47
1992,9,0.99,0.68,-0.41,2.28
1992,10,0.87,1.51,-0.40,2.11
1992,11,3.78,3.68,-1.21,0.96
1992,12,1.55,2.77,1.45,1.81
1993,1,1.03,2.32,3.02,-1.40
1993,2,0.32,-3.30,3.59,-1.44
1993,3,2.26,-0.01,0.95,1.81
1993,4,-2.78,-1.16,1.14,-3.09
1993,5,2.74,1.83,-0.78,-0.55
1993,6,0.27,1.60,1.83,2.95
1993,7,-0.32,1.43,1.46,-0.54
1993,8,3.69,-0.01,-0.08,0.47
1993,9,-0.17,3.10,0.27,0.94
1993,10,1.59,0.41,-0.55,-1.43
1993,11,-2.01,-1.89,-0.75,-0.77
1993,12,1.73,2.10,-0.24,2.36
1994,1,2.90,0.18,1.18,-0.82
1994,2,-2.63,2.64,-0.46,2.65
1994,3,-4.83,-0.95,0.97,0.21
1994,4,0.68,-0.83,1.27,1.52
1994,5,0.62,-1.98,0.54,-0.71
1994,6,-3.10,-0.87,0.97,0.16
1994,7,2.79,-1.46,0.41,0.67
1994,8,3.89,2.06,-0.68,2.04
1994,9,-2.20,2.18,0.55,1.04
1994,10,1.07,-1.84,0.26,0.39
1994,11,-4.09,0.56,-0.96,1.40
1994,12,0.82,1.18,1.33,4.02
1995,1,1.62,-2.46,-0.11,-0.09
1995,2,3.56,-0.73,-0.84,0.48
1995,3,2.29,-1.26,0.08,1.20
1995,4,2.06,0.07,0.10,0.29
1995,5,2.87,-2.21,0.88,-0.99
1995,6,2.65,3.24,-1.73,2.17
1995,7,3.63,1.73,-2.52,0.95
1995,8,0.47,2.40,2.22,0.17
